,alpha,avr_total_actions,avr_total_rewards,gamma
0,0.1,1808.61,,0.1
1,0.1,1811.04,,0.3
2,0.1,1804.57,,0.5
3,0.1,1826.52,,0.7
4,0.1,1805.42,,0.9
5,0.3,1782.11,,0.1
6,0.3,1803.25,,0.3
7,0.3,1780.72,,0.5
8,0.3,1800.94,,0.7
9,0.3,1790.1,,0.9
10,0.5,1802.28,,0.1
11,0.5,1783.39,,0.3
12,0.5,1813.62,,0.5
13,0.5,1810.99,,0.7
14,0.5,1804.09,,0.9
15,0.7,1776.27,,0.1
16,0.7,1786.18,,0.3
17,0.7,1798.77,,0.5
18,0.7,1813.28,,0.7
19,0.7,1800.8,,0.9
20,0.9,1812.83,,0.1
21,0.9,1798.18,,0.3
22,0.9,1790.94,,0.5
23,0.9,1810.1,,0.7
24,0.9,1797.65,,0.9
